battery_consumption_ratio,seed,episodes,observation_days,human_ev_vehicle_count,aev_vehicle_count,all_vehicle_count,base_consumption_wh_per_mile,effective_consumption_wh_per_mile,effective_consumption_kwh_per_km,configured_initial_battery_mean,realized_initial_battery_mean,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,avg_daily_charging_sessions_per_vehicle,avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,avg_charging_session_duration_minutes_all,avg_wait_steps_waiting_charging_vehicles,avg_wait_minutes_waiting_charging_vehicles,waiting_charging_vehicle_count,mean_completed_orders,mean_service_ratio,mean_final_battery_soc,mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,total_distance_km_human_ev,total_distance_km_aev,mcmf_aev_request_selections,mcmf_aev_charge_selections,mcmf_aev_wait_selections,mcmf_aev_relocate_selections,mcmf_low_soc_aev_charge_selections,mcmf_low_soc_aev_wait_selections,initial_soc_case
1.2,1024,1,1.0,100,100,200,230.0,276.0,0.1714984490575041,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.86,0.0,2.93,23.92374350086655,0.0,23.92374350086655,9.20253164556962,18.40506329113924,158.0,6319.0,0.0492160787581877,0.4515378005480523,0.7030392290008788,0.2000363720952257,31196.838568475283,20126.45550907114,2919,0,0,30958,0,0,0.875
0.8,256,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.56,0.0,2.78,25.171790235081374,0.0,25.171790235081374,72.35714285714286,144.71428571428572,252.0,4726.0,0.036808860296122,0.4610313335276658,0.7220444311375018,0.2000182359178296,26813.28563639591,11026.953106546594,1777,0,0,49022,0,0,0.45
0.8,512,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.71,0.0,2.855,24.73498233215548,0.0,24.73498233215548,78.75735294117646,157.5147058823529,272.0,4716.0,0.0367309744300701,0.4616029976953973,0.7231841784601933,0.2000218169306014,27297.184301827852,11303.143276423829,1768,0,0,48586,0,0,0.45
0.8,1024,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.95,0.0,2.975,24.684838160136287,0.0,24.684838160136287,74.72556390977444,149.45112781954887,266.0,4932.0,0.0384133091367909,0.4639460591588341,0.7278711453092949,0.2000209730083734,28601.73579056853,11139.545274170232,1771,0,0,48870,0,0,0.45
0.9025,256,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.79,0.0,2.895,25.88132635253054,0.0,25.88132635253054,79.36293436293437,158.72586872586874,259.0,4439.0,0.0345735359404328,0.4575210764539318,0.715016827270838,0.2000253256370256,26522.69978200034,9774.302764758198,1562,0,0,51671,0,0,0.45
0.9025,512,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.76,0.0,2.88,25.76140350877193,0.0,25.76140350877193,70.22509225092251,140.45018450184503,271.0,4521.0,0.0352122000420583,0.4537944162057664,0.7075665050466842,0.2000223273648485,26599.526090929303,10019.38650057797,1614,0,0,51124,0,0,0.45
0.9025,1024,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.81,0.0,2.905,25.82867132867133,0.0,25.82867132867133,66.86531986531986,133.73063973063972,297.0,4493.0,0.034994119617113,0.4531621850078318,0.7062911930555832,0.2000331769600804,27121.015951146797,9873.90424482946,1556,0,0,51538,0,0,0.45
0.95,256,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.46,0.0,2.73,27.46323529411765,0.0,27.46323529411765,82.32307692307693,164.64615384615385,260.0,4114.0,0.0320422452937465,0.464429914052324,0.7288148199120416,0.2000450081926062,24816.25078739363,9284.844653916189,1471,0,0,52728,0,0,0.45
0.95,512,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.87,0.0,2.935,26.375215146299485,0.0,26.375215146299485,75.56050955414013,151.12101910828025,314.0,4387.0,0.034168529436963,0.4549971452587971,0.7099674227056242,0.20002686781197,26696.980492030092,9518.245783790073,1565,0,0,52058,0,0,0.45
0.95,1024,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.02,0.0,2.51,28.955465587044536,0.0,28.955465587044536,70.13765182186235,140.2753036437247,247.0,4114.0,0.0320422452937465,0.4594740056792837,0.7189220603568767,0.2000259510016908,24360.53931819798,9380.481796411676,1485,0,0,52527,0,0,0.45
